요리명,조회수,조리방법,재료,인분수,난이도,조리시간,체크할 재료
사과우유,1434,기타,사과 1개| 우유 1컵| 꿀 1스푼| 시나몬가루 2꼬집,1인분,아무나,10분이내,사과 우유 
사과우유주스,4462,기타,사과1개| 우유180ml| 꿀,1인분,아무나,5분이내,사과 우유 
사과잼,3998,조림,사과 약2개분량| 설탕 40g| 에리스리톨 1T| 레몬즙 2T| 계피가루 1/2t| 가루젤라틴 1T,1인분,아무나,60분이내,사과 
사과잼딸기베이글,696,기타,베이글 2개| 사과잼 5스푼| 딸기 4개| 오렌지 1개| 버터 1개,1인분,아무나,10분이내,사과 
사과잼치즈토스트,895,굽기,식빵2장| 사과잼 적당량| 체다치즈2장,1인분,아무나,10분이내,사과 치즈 빵 
사과잼크레페,9160,굽기,달걀 2개| 우유 1+1/2컵| 핫케이크 가루 500g  사과쨈| 연유| 버터,1인분,초급,15분이내,사과 달걀 우유 
사과잼햄치즈샌드위치,6072,기타,식빵| 슬라이스햄| 치즈| 사과잼| 피망  홀그레인머스터드| 허니머스터드| 올리고당,1인분,아무나,5분이내,사과 치즈 빵 
사과조림,7287,조림,사과 2개| 물 1컵| 설탕 3/4컵| 시나몬 가루 1t| 레몬주스 1/4컵,1인분,중급,60분이내,사과 
사과주스,17972,기타,사과 1개| 믹서기,1인분,초급,5분이내,사과 
사과즙빙수,815,기타,꽁꽁 언 사과즙 2팩| 떡(찹쌀떡) 1 개| 굵게 다진 견과류 2큰술| 바닐라 아이스크림 콘 1개,1인분,아무나,15분이내,사과 떡 
사과짜조,4067,튀김,사과 1개| 라이스페이퍼 4장| 계피설탕 1T| 꿀 1T| 땅콩분태 1T| 식용류 적당량,1인분,아무나,30분이내,사과 
사과쨈떡볶이,1021,볶음,사과 3개| 떡 약 15개| 양파 1/2개| 무 적당량  설탕(자일리톨) 200ml| 계피가루 1t| 레몬즙 몇방울| 고추장 1T| 간장 1T| 사과쨈 1T| 다진마늘 1/3T| 카레가루 1/3T| 깨 살짝,1인분,초급,15분이내,사과 마늘 양파 고추 무 떡 
사과청,4216,절임,사과500g| 설탕450g| 꿀2큰술| 레몬즙2큰술  베이킹소다| 식초| 굵은소금,1인분,아무나,30분이내,사과 
사과치즈떡볶이,1369,볶음,가래떡 20개안팎| 사과 1/4개| 모짜렐라치즈 약간 1T  고추장 1+1/2개| 물엿 1T| 물 종이컵으로 1/2컵| 식용유 1~2t,1인분,초급,15분이내,사과 치즈 고추 떡 
사과치즈스틱,2726,굽기,사과 1/2개| 황설탕 2큰술| 계핏가루 약간(생략가능)| 모짜렐라치즈 3~4큰술| 만두피 13~15장,1인분,초급,30분이내,사과 치즈 
사과칩,629,굽기,사과 1개,1인분,아무나,90분이내,사과 
사과케일주스,17837,기타,사과 반개~1개| 케일 2장| 꿀 1.5T,1인분,아무나,30분이내,사과 
사과콜드파스타,3732,무침,파스타 면 80g| 양파 1/4개| 풋사과 1/4개| 빨간 사과 1/4개  다진마늘 1/2큰술| 간장 2큰술| 올리브오일 2큰술| 식초 1큰술| 설탕 1큰술| 소금 1꼬집,1인분,아무나,15분이내,사과 마늘 양파 파스타 
사과콜라비샐러드,841,무침,콜라비 1/2개| 사과 1/2개| 당근 1/2개| 그릭요거트 2숟갈| 마요네즈 2숟갈| 레몬즙 2숟갈| 꿀 1숟갈,1인분,초급,30분이내,사과 당근 
사과크래커,679,기타,사과 1개| 크래커 5개  올리고당 취향것| 설탕 조금,1인분,아무나,5분이내,사과 
사과키위주스,13319,기타,사과 1/2개| 키위 1.5개| 물 100ml,1인분,아무나,5분이내,사과 
사과토스트,3907,굽기,식빵 2쪽| 사과 1쪽| 햄 2장| 달걀 2개| 식용유 약간| 소금 약간| 딸기잼(시럽) 1큰술| 케� 적당량| 치즈 선택,1인분,초급,30분이내,사과 치즈 달걀 빵 
사과튀김,3967,튀김,달걀 3개| 설탕 3숟갈| 사과 2개,1인분,초급,15분이내,사과 달걀 
사과파이,9353,굽기,파이시트(냉동생지) 8장| 다크초콜릿 약간| 사과 2개| 설탕(A) 사과중량의 40%  설탕(B) 40g| 물 50g  노른자 1개| 물 약간,1인분,중급,60분이내,사과 
사과팬케이크,149,굽기,밀가루중력분 1컵| 달걀 1개| 물 1/2컵| 설탕 1스푼| 소금 1 작은스푼| 베이킹파우더 1/2 작은스푼| 올리브유 약간| 미니 사과 200g| 설탕 1스푼,1인분,아무나,30분이내,사과 달걀 
사과프리터,2319,튀김,사과 1개| 녹말가루 2스푼| 핫케익가루 1컵| 우유 1/2컵| 슈가파우더 약간,1인분,아무나,15분이내,사과 우유 
사과피자,7338,굽기,설탕 2T| 시나몬가루 1/4t  6인치 또띠아 1장| 사과 토핑 1/6| 모짜렐라치즈 1/4컵,1인분,초급,15분이내,사과 치즈 
사과햄치즈샌드위치,12671,기타,샌드위치 식빵 4장| 사과 1개| 체다슬라이스치즈 2장| 슬라이스 햄 2장| 딸기잼 2스푼  마요네즈 1스푼,1인분,초급,30분이내,사과 치즈 빵 
사누키우동,1505,끓이기,우동면| 쪽파| 가스오브시| 육수(가스오부시),1인분,아무나,30분이내,
사라다,18211,비빔,파프리카| 사과| 콜라비| 슬라이스아몬드| 옥수수콘  마요네즈,1인분,아무나,15분이내,사과 파프리카 
사라다라면,10849,끓이기,라면사리 1개| 당근 1/6개| 삶은 닭가슴살 1개| 대파 1/8대| 적양배추 2장| 참깨드레싱 6숟가락,1인분,아무나,30분이내,양배추 당근 닭 대파 배추 배 라면 
사라다빵,9973,무침,양배추 2줌| 모닝빵 3개| 크래미 3장| 햄 조금| 당근 조금  소금 1t  마요네즈 2스푼| 허니머스타드 2스푼| 설탕 1스푼| 후추 살짝,1인분,아무나,30분이내,양배추 당근 배추 배 
사리곰탕육개장,4927,끓이기,사리곰탕 라면 1봉| 달걀 1개| 대파 1대 70g| 고춧가루 1숟가락| 다진마늘 1/2숟가락| 국간장 1숟가락| 후추 약간| 물 600ml| 참기름 1숟가락| 식용유 2숟가락,1인분,아무나,15분이내,달걀 마늘 대파 라면 
사리곰탕파스타,967,끓이기,베이컨 300g| 양파 1/2쪽| 우유 500ml| 치즈 1장| 소금 약간| 기름 약간| 사리곰탕면 1봉지  간마늘 1t,1인분,아무나,30분이내,베이컨 치즈 마늘 우유 양파 
사시미간장,3332,끓이기,간장 4T| 맛술 2T| 양파 1/4개| 통후추 1t| 생강가루 1/2t| 설탕 1T| 다시마 작은것| 멸치가루 1T| 물 4T,1인분,아무나,15분이내,양파 
사시미곤약쫄면,7889,비빔,사시미 곤약분말 15그램| 물 1000cc| 보라색 천연색소 1~2mg| 토마토 1개| 양상치 1컵| 달걀 삶은 것 1개  초고추장 2스푼,1인분,초급,30분이내,달걀 고추 
사우어크라우트,5946,볶음,배추 200g| 소금 1ts| 올리브오일 1Ts| 설탕 1Ts| 식초 2Ts| 후춧가루 1꼬집| 버터 1Ts| 홀그레인 머스타드 1Ts,1인분,아무나,30분이내,배추 배 
사우전드아일랜드드레싱,1103,기타,쌈채소 1/2줌| 양배추채 1줌| 적양배추채 1/2줌| 양파채 1/2줌| 당근채 약간| 방울토마토 5개  마요네즈 2T| 케첩 1T| 땅콩버터 1/2T 등,1인분,아무나,10분이내,양배추 당근 배추 양파 배 
사이다,1579,기타,엑설런트 1조각| 사이다 300ml,1인분,아무나,5분이내,
사천식마파두부덮밥,10201,볶음,쿡두마파두부용소스| 돼지고기 100g| 두부 1모| 쪽파| 소금| 굵은후추| 간장| 기름| 물,1인분,아무나,30분이내,돼지고기 두부 
사천짜장,3226,볶음,양파 1개| 3분 짜장 1개| 불닭볶음면 1개,1인분,아무나,10분이내,닭 양파 
사천탕수육,30426,튀김,돼지고기 앞다리살 230g| 전분가루 3큰술| 흰자 1/2개| 청양고추 2개| 홍고추 1개| 양파 1/4개| 청피망 1/2개| 홍피망 1/2개| 고추기름 2큰술| 다진마늘 1/2큰술| 생강가루 반 티스푼  허브소금 1/2티스푼| 생강술 1큰술  설탕 3큰술| 간장 1큰술| 식초 3큰술| 물 100ml| 전분물 2큰술(전분가루 2큰술+물2큰술),1인분,초급,30분이내,마늘 양파 고추 돼지고기 
사케동,13554,절임,훈제연어 150g| 양파 1/4개| 대파 1/5대  쯔유 2T| 와사비 1t| 올리브유 1T| 통깨 1t| 참기름 1t| 식초 2~3t,1인분,아무나,30분이내,대파 양파 
사케라또,519,기타,얼음 2종이컵| 설탕 시럽 15ml| 에스프레소 2샷| 원두 약간| 시나몬파우더 약간,1인분,아무나,10분이내,
사케라토,2737,기타,에스프레소 2샷| 시럽 20~30ml| 얼음 적당량,1인분,초급,10분이내,
산나물무침,5200,무침,산나물 1주먹| 다진마늘 1티스푼| 소금 1/2티스푼| 국간장 1/2티스푼| 통깨 조금| 참기름 1/2티스푼,1인분,아무나,5분이내,마늘 
산나물파스타,963,볶음,파스타면 80g| 산나물 1줌| 통마늘 7개| 새우 7개| 홍고추 1/2개| 올리브오일 약간| 후춧가루 약간| 소금 약간,1인분,초급,30분이내,마늘 파스타 고추 새우 
산대자,539,부침,마늘종 6개| 햄 1/6개| 물 500ml| 식용유 약간  부침가루 3큰숟갈| 진간장 2숟갈| 참기름 1숟갈| 물 100ml  고추장 0.7숟갈| 식초 2숟갈| 설탕 1숟갈,1인분,아무나,30분이내,마늘 고추 
산딸기샐러드,937,기타,산딸기 50g| 설탕 1Ts| 식초 1Ts| 소금 1꼬집| 후춧가루 1꼬집| 올리브오일 3Ts| 양상추 50g,1인분,아무나,30분이내,상추 
산딸기쉐이크,6133,기타,산딸기| 우유  꿀,1인분,아무나,5분이내,우유 
산딸기스무디볼,538,기타,산딸기 100g| 플레인 요거트 100g| 꿀 2Ts| 그래놀라 30g,1인분,아무나,30분이내,
산딸기허니브래드,3625,굽기,사각식빵(또는일반식빵)  버터 2ts| 꿀 1스푼(숟가락)| 휘핑크림| 계피가루 약간,1인분,아무나,15분이내,빵 
산마그라탕,569,굽기,산마 1개| 정식품 검은콘 진한 콩국물 500ml| 딜씨드 1/2T| 클로브 1/2T| 통백후추 1/2T| 카드몸 1T| 구은 소금 약간| 바질오일 20ml| 바질식초 10-20ml| 그라노파다노 치즈 30g| 이탈리안 파슬리 2줄기,1인분,중급,90분이내,치즈 
산양삼보리비빔밥,542,비빔,밥 1공기| 산양삼 10개| 나물| 고추장| 달걀| 깨소금| 참기름 약간,1인분,아무나,30분이내,달걀 고추 
산적,42418,부침,밥| 날치알  쇠고기| 표고버섯  달걀 2개  산적고기| 꽈리고추 6개| 김치| 시금치나물| 양파장아찌,1인분,초급,60분이내,표고버섯 달걀 김치 양파 고추 소고기 
산적꼬치김밥,1894,기타,밥 1/3공기| 산적꼬치 4~5개| 파란나물 1줌(50g)| 김 1장| 달걀 1개,1인분,아무나,10분이내,달걀 
산적볶음밥,5528,볶음,명절요리중남은산적| 밥  고추장,1인분,초급,30분이내,고추 
산채비빔밥,13716,비빔,봄산채나물| 무채나물| 현미밥  간장 2큰술| 참기름 2큰술| 깨소금 1작은술| 고추장 3큰술,1인분,초급,30분이내,고추 무 
산타리버섯연어포케,1651,볶음,밥 1/2공기| 고기느타리버섯 150g| 연어 120g| 아보카도 1/2개| 당근 1/4개| 양파 1/4개| 야채믹스 20g| 콘옥수수 3T| 올리브 4개| 김가루 3T| 참깨 1T| 검정깨 1T  마요네즈 2T| 스리라차 2T| 피쉬소스 1T| 설탕 1T| 레몬즙 1T  소금 1t| 설탕 1t| 식초 1t  소금 2꼬집| 발사믹식초 1T,1인분,아무나,30분이내,당근 양파 
산타리버섯전,111,부침,산타리 버섯 500g| 전분(감자고구마 아무거나) 100g| 물 100ml| 소금 1t| 참기름/들기름 1T  간장 1T| 식초 0.5T| 고추가루 0.5T,1인분,아무나,5분이내,고추 감자 무 고구마 
살구밀크쉐이크,1578,기타,살구 4개| 우유 100ml| 바닐라 아이스크림 3국자| 스프레이 생크림| 휘핑크림 약간| 장식용 허브 로즈마리 약간,1인분,아무나,5분이내,우유 
살구스콘,1730,굽기,건살구 15개| 박력분 200g  버터 20g| 흑설탕 40g| 소금 1꼬집| 우유 50ml| 달걀 1개| 검은깨 조금| 베이킹파우더 3g| 달걀노른자 1/2개| 물1t,1인분,중급,90분이내,달걀 우유 
살구에이드,234,기타,살구 4개| 비정제설탕 40g| 탄산수 150ml| 얼음 컵의 3/2,1인분,아무나,5분이내,
살구잼,4719,끓이기,살구 10개| 유기농설탕 1/2분량| 레몬즙 또는 레몬청 1T,1인분,아무나,30분이내,
살라미볼로네제스파게티,3153,볶음,토마토 2개(소)| 살라미 4~5장| 양파 1개(소)| 스파게티 100원 동전크기의 양| 소금 1T| 후추 조금,1인분,아무나,15분이내,양파 
살라미샌드위치,5282,기타,곡물식빵 1쪽| 모짜렐라치즈 1장| 방울토마토 7개| 로메인러더스 5장  머스터소스나 씨겨자소스 취향데로,1인분,아무나,10분이내,치즈 빵 
살사소스,7116,무침,방울토마토 20~30개| 양파 1개| 청량고추 3개| 크림치즈/훼타치즈 3개  바질 2T| 올리브유 4T| 소금 0.5T| 후추 적당히| 레몬즙 3T| 케찹 5T,1인분,아무나,10분이내,치즈 양파 고추 
살치살청경채볶음,54899,볶음,살치살 150g| 청경채 200g| 매운고추 1개| 식용유 2T| 소금 1/2t| 깨 1t| 참기름 1/2T| 물녹말(전분1T:물 2T)  간장 2T| 굴소스 1T| 다진마늘 1/2T| 다진파 1/2T| 맛술 1T| 후추 1/3t  물 1.5L| 소금 1/2T,1인분,초급,30분이내,마늘 고추 
삶은달걀,18292,기타,달걀 1개| 물 1/2컵| 소금 0.5T,1인분,아무나,10분이내,달걀 
삶은달걀샌드위치,61574,기타,삶은 달걀| 당근| 파슬리| 식빵  마요네즈| 설탕 약간 | 후춧가루 약간,1인분,초급,30분이내,당근 달걀 빵 
삶은달걀양념구이,9284,굽기,달걀| 간장| 맛술| 참기름| 올리고당| 마늘| 파| 통깨| 당근| 기름,1인분,아무나,30분이내,당근 달걀 마늘 
삶은달걀,3980,삶기,달걀| 식초 1T| 소금1/3T,1인분,아무나,15분이내,달걀 
삶은달걀샌드위치,1841,삶기,핫도그 번 1개| 버터| 사과잼  달걀 2~3개| 사과 1쪽| 견과류| 마요네즈 3| 머스타드 1| 그라인드후추| 소금,1인분,아무나,30분이내,사과 달걀 
삶은밤,9600,삶기,밤,1인분,아무나,30분이내,
삼각김밥,26859,기타,밥| 김| 햄| 단무지| 김치| 참치| 다진햄,1인분,초급,15분이내,김치 무 
삼각김밥크림리조또,410,끓이기,버터장조림삼각김밥 1개| 참치마요삼각김밥 1개| 우유 190ml| 치즈 1장  소금 1꼬집,1인분,아무나,10분이내,치즈 우유 
삼각주먹밥,5636,볶음,밥 1공기| 잔멸치 40g| 호두 25g  소금| 통깨| 참기름 0.5큰술  간장 1/2큰술| 미림 0.5큰술| 식용유 1큰술| 다진마늘 0.5큰술| 물엿(or 설탕) 1~2큰술| 참기름 0.5큰술| 통깨  초고추장,1인분,초급,30분이내,마늘 고추 
삼겹덮밥,955,조림,삼겹살1인분량| 양파 적당량| 대파 적당량  간장1큰술| 생강가루 약간| 설탕1티스푼 | 올리고당 1/2큰술| 후추 톡톡| 맛술1큰술| 물1큰술,1인분,아무나,30분이내,대파 양파 
삼겹볶음,623,볶음,삼겹살 원하는만큼| 양배추 원하는만큼| 마늘 원하는만큼| 팽이버섯 원하는만큼  간장 매우 약간| 미림 2~3 TBSP| 고춧가루 매우 약간,1인분,초급,30분이내,팽이버섯 양배추 마늘 배추 배 
삼겹살,29217,굽기,삼겹살 200g| 목살 200g| 허브소금 1T| 올리브오일 1T,1인분,아무나,30분이내,
삼겹살간장조림,1498,조림,삼겹살 180g| 간장 2T| 올리고당 1T| 다진마늘 1/2T| 물 2T| 맛술 1T| 후춧가루 1꼬집| 통깨 1T,1인분,아무나,10분이내,마늘 
삼겹살고추장스파게티,1915,볶음,삼겹살 2~3줄| 양파 1/2개| 치커리 상추 (스파게티.비빔밥재료) 1주먹정도| 볶은김치(비빔밥재료) 조금만  로제 스파게티소스 4.5숟갈| 올리고당 1바퀴| 참기름(비빔밥재료) 1바퀴,1인분,아무나,30분이내,김치 상추 양파 
삼겹살구이,17806,굽기,돼지고기(목살 or 삼겹살) 200g| 된장 1큰술| 청주 고기가잠길정도로| 물엿 1/2큰술| 설탕 1/2큰술| 참기름 1/2큰술| 국간장 1/2큰술| 물 1큰술| 양배추 2장| 대파 20cm| 양파 1/2개| 마늘 3~4개| 참깨 약간,1인분,초급,30분이내,양배추 마늘 대파 배추 양파 배 돼지고기 
삼겹살김밥,70493,기타,삼겹살 2줄| 밥 1인분| 상추 2장| 깻잎 2장| 쌈무 3장| 아삭이고추 1/2개| 채 썬 당근 1/6개| 쌈장 약간| 참기름 약간| 소금 약간| 김밥용 김 2장| 식용유 약간,1인분,아무나,30분이내,깻잎 당근 상추 고추 무 
삼겹살김치덮밥,2188,볶음,밥 1공기| 김치 1컵| 삼겹살 110g| 양파 1/2개| 쪽파 1대| 통깨 조금| 고추장 1/2TS| 설탕 1ts| 참기름 1ts,1인분,아무나,30분이내,김치 양파 고추 
삼겹살김치볶음밥,128924,볶음,삼겹살 2줄| 밥 1공기| 김치 1cup| 대파 10cm  간장 1T| 고춧가루 1/2T| 고추장 1/2T| 후추 약간| 설탕 1/2T| 참기름 1/2T  김 가루 적당량,1인분,아무나,30분이내,대파 김치 고추 
삼겹살김치찜,1324,찜,삼겹살 4줄| 포기김치 5쪽| 대파 1대| 청양고추 2개  고춧가루 1.5숟갈| 설탕 0.5숟갈| 참치액 1숟갈| 멸치다시마국물 3숟갈,1인분,초급,30분이내,대파 김치 고추 
삼겹살김치치즈후라이,555,굽기,삼겹살 2줄| 김치 2 ~ 3줄| 허브솔트 약간| 고춧가루 1큰술| 설탕 1큰술| 빵가루 1큰술| 밀가루 1큰술| 달걀2개| 피자 치즈 1줌| 파 약간,1인분,아무나,30분이내,치즈 달걀 김치 
삼겹살김치파스타,10688,볶음,삼겹살 1/2줌(100g)| 김치 1/2컵| 파스타면 1줌| 청양고추 1개  다진마늘 0.5T| 올리브유| 소금| 후춧가루,1인분,초급,30분이내,마늘 김치 파스타 고추 
삼겹살깍두기볶음밥,5716,볶음,찬 밥 1공기| 먹다 남은 삼겹살 4조각| 익은 깍두기 1국자| 소금 약간| 김가루 약간| 참기름 약간,1인분,아무나,30분이내,
삼겹살꼬치구이,1838,굽기,삼겹살 250g| 대파 1대| 새송이버섯 1개| 허브솔트 1큰술| 쇠꼬지나 나무꼬지 4개,1인분,아무나,30분이내,대파 새송이버섯 무 
삼겹살꽈리고추볶음,55991,볶음,삼겹살 300g(두줄 반) | 참기름 1작은술 | 꽈리고추 80g| 통깨 1작은술  굴소스2큰술 | 고춧가루 1/2큰술 | 다진마늘 1작은술 | 물3큰술| 맛술 2큰술| 올리고당 1큰술| 생강채 1작은술,1인분,초급,10분이내,마늘 고추 
삼겹살냉이양배추롤,8922,삶기,냉이 1줌| 표고버섯 1장| 당근 1/2개| 삼겹살 약간| 묵은지 약간| 밥 1/2공기| 양배추 1/4통  쌈장 조금| 설탕 약간 | 들기름 약간 | 소금 약간,1인분,초급,30분이내,표고버섯 양배추 당근 배추 배 
삼겹살냉채,235,기타,채썬 양배추 3줌| 깻잎 16장| 삼겹살 300g| 통후추 1작은술| 월계수 3장| 물 4컵| 다진마늘 1큰술| 식초 4큰술| 설탕 1/2 큰술| 매실청 2 큰술| 연겨자 1 큰술| 소금 1/2 작은술,1인분,아무나,30분이내,깻잎 양배추 마늘 배추 배 
삼겹살달걀덮밥,1276,볶음,삼겹살1줄| 달걀2개 | 대파 적당량  후추| 소금  간장| 통깨,1인분,아무나,10분이내,달걀 대파 
삼겹살덮밥,135993,볶음,대패 삼겹살 200g| 양파 1/2개| 대파 1대| 밥 1공기| 식용유 약간  설탕 1T| 간장 1/2T| 맛술 1T| 된장 1T| 다진 마늘 1/2T| 올리고당 1T| 참기름 1T| 물 2T,1인분,초급,30분이내,마늘 대파 양파 
삼겹살데리야끼조림,20825,조림,삼겹살 2컵  데리야끼소스 3T| 양파절임간장 4T| 마늘 1t| 맛술 1T| 꿀 1T| 후추,1인분,아무나,15분이내,마늘 양파 
삼겹살떡볶이,9763,볶음,삼겹살 150g| 떡볶이떡 20개| 다시마국물 2컵| 떡볶이 양념 1+1/2큰술  포도청 2큰술| 다진 마늘 1큰술| 고추장 1큰술,1인분,초급,2시간이상,마늘 고추 떡 
삼겹살라면,31249,끓이기,소고기라면 1봉지| 삼겹살 100g| 콩나물 1줌| 달걀 1개| 파 1큰술,1인분,아무나,10분이내,콩나물 달걀 소고기 라면 
삼겹살말이,1704,굽기,새싹인삼 10뿌리| 대패삼겹살 20개| 새송이버섯 1개  올리고당 1/2스푼| 간장 1스푼| 고추가루 1/2스푼| 식초 약간,1인분,초급,30분이내,새송이버섯 고추 
삼겹살말이비빔국수,6501,비빔,소면 1인분| 삼겹살 100g| 김치 1 줌| 고추장 1 큰 술| 설탕 1/2큰 술| 간장 1 큰 술| 참기름 1 큰 술| 고춧가루 1/2 티스푼| | 달걀 1 개| 루꼴라(잎채소or쌈채소) 약간,1인분,아무나,10분이내,달걀 김치 고추 
삼겹살버거,1583,굽기,돼지고기 100g| 양상추 2 piece| 양파 1 piece| 파프리카 2 piece| 빵  고추장 1T| 참기름 1T| 후추 1T| 설탕 1t| 물엿 1T| 간장 1/2T,1인분,아무나,5분이내,상추 양파 파프리카 고추 돼지고기 빵 
삼겹살베이글샌드위치,1896,기타,구이용목살 5-6점| 치즈베이글 1개| 새싹채소 1줌| 구운김치 1점| 쌈장 조금| 양파장아찌 1움큼,1인분,초급,5분이내,치즈 김치 양파 
삼겹살보쌈,14614,삶기,삼겹살 200g| 간장 1/2컵(소주잔)| 막걸리 1/3병| 후추 약간| 김치 1줌| 쌈채소| 마늘| 양파| 고추등데코용채소 약간(생략가능),1인분,아무나,10분이내,마늘 김치 양파 고추 
삼겹살볶음,769,볶음,삼겹살 250g| 양송이버섯 200g  소주 4수저| 소금 톡톡| 후추 톡톡,1인분,아무나,15분이내,
삼겹살볶음라면,5706,볶음,삼겹살 조금| 라면사리| 숙수| 팽이| 청양고추| 양파| 마늘  굴소스| 후추| 맛술 2~3스푼| 간장,1인분,아무나,15분이내,마늘 양파 고추 라면 
삼겹살볶음밥,13202,볶음,삼겹살 8쪽| 밥 1공기| 김치 1/2컵| 깻잎 조금| 부추 조금| 달걀 1개  참기름| 굴소스| 통깨,1인분,아무나,15분이내,깻잎 부추 달걀 김치 
삼겹살볶음우동,4129,볶음,돼지고기 200g| 숙주 1/3봉지| 부추 1/4봉지  다진마늘 1큰술| 간장 소주컵2/3| 후추 1t| 크러쉬드 레드페퍼 1큰술| 올리브오일 3큰술| 통깨 1큰술,1인분,초급,30분이내,부추 마늘 숙주 돼지고기 
삼겹살부추비빔밥,445,비빔,부추 1줌| 밥 1그릇| 달걀 1개| 참기름 1T| 고추장 1수저| 식용유 조금| 통깨 솔솔솔| 삼겹살 1줌,1인분,아무나,15분이내,부추 달걀 고추 
삼겹살부타동,359,조림,간장 1.5 국자| 설탕 1.5| 맛술 1/2스푼| 굴소스 1/2스푼| 간마늘 1/2스푼| 고추 조금| 파 조금| 노른자 1개| 양파 1/2스푼,1인분,초급,15분이내,마늘 양파 고추 
삼겹살불닭말이,1432,볶음,불닭볶음면 1인분| 모짜렐라치즈 50g| 대패삼겹살(길이가 후라이팬만한것) 6줄| 달걀 1개| 쪽파 1스푼,1인분,초급,10분이내,치즈 닭 달걀 
삼겹살비빔국수,905,비빔,소면 500원동전 크기로2개| 초고추장 8스푼| 상추 10개| 공심채 볶음 1/2접시| 삼겹살 150그람| 호박 볶음 1/2접시  초고추장 8스푼| 참기름 1스푼| 갈은 깨 1스푼,1인분,아무나,30분이내,상추 고추 
삼겹살비빔밥,228,비빔,삼겹살 2줄| 밥 1공기| 상추 3장| 두부 1/2모  고추장 0.5T| 된장 1T| 다진마늘 1작은술| 참기름 1T,1인분,초급,60분이내,마늘 상추 고추 두부 
삼겹살샐러드,15074,굽기,삼겹살 500g| 베이비 채소 적당량  소금 약간| 후춧가루 약간| 마늘가루 적당량  올리브오일 3큰술| 발사믹식초 3큰술| 레몬즙 1큰술| 꿀이나 아가베시럽 0.5큰술| 소금 0.3큰술  발사믹식초조린것 적당량| 파르마산치즈가루 적당량,1인분,초급,15분이내,치즈 마늘 
삼겹살수육,20213,삶기,생삼겹살 250g| 쌍화차티백 2개| 생강차티백 1개| 간장 4T| 후추 1/3t| 물 1.5L  깻잎 5장| 양파 1/2개| 간장 1T| 식초 1T| 물 1T| 설탕 1T| 다진마늘 1/2T| 참기름 1t| 고춧가루 1T| 깨 1/2t,1인분,초급,60분이내,깻잎 마늘 양파 
삼겹살수육비빔면,1199,비빔,돼지고기 700g| 사리면 1개  양파 1/2개| 통후추 10개| 생강 3쪽| 미림 100ml| 간장 50ml| 물 가득 4컵| 설탕 2T| 소금 2T| 페퍼론치노 5개| 식용유 10ml| 된장 2T  수육육수 1국자| 다진마늘 1T| 채썬 양파 1/2개| 파프리카 가루 1/2T  무말랭이 5g,1인분,고급,2시간이상,마늘 양파 파프리카 돼지고기 무 
삼겹살숙주덮밥,4077,볶음,삼겹살 1-2줄| 양파 1/2 개| 대파 적당량| 마늘 3알| 숙주 1 주먹| 식용유 적당량| 후추 적당량| 밥 1공기| 달걀 노른자 1개| 굴소스 1티스푼| 물 2스푼| 크러쉬드 레드페퍼 적당량  간장 2스푼| 설탕 1.5스푼| 맛술 1스푼| 다진마늘 0.5스푼| 후추 적당량,1인분,초급,60분이내,달걀 마늘 대파 숙주 양파 
삼겹살스테이크,61897,굽기,삼겹살 300g| 소금 약간| 후추 약간| 돈까스소스 3T| 굴소스 1T| 맛술 2T| 물 2T| 올리고당 1T| 다진마늘 0.5T,1인분,초급,30분이내,마늘 
삼겹살시금치파스타,1606,볶음,삼겹살 1줄(취향따라)| 마늘 3~4개| 양파 1/3개| 시금치 1줌| 새송이버섯 1/3개| 페퍼론치노 or 청양고추 2~3개 or 반개| 파스타면 1인분| (제외가능) 치킨스톡 1/3큰술,1인분,아무나,15분이내,마늘 새송이버섯 양파 파스타 고추 
삼겹살쌈밥,2014,기타,삼겹살 80g| 양파 1/4개| 쪽파 20잎| 마늘 15개| 상추 5잎| 깻잎 5잎| 쌈장 1큰스푼| 오이 1/3개| 가쓰오부시 국물 1큰스푼| 밥 1/3공기,1인분,아무나,30분이내,깻잎 오이 마늘 상추 양파 
삼겹살쌈장볶음밥,84577,볶음,삼겹살 2줄| 밥 1공기| 대파 10cm| 통마늘 3개  시판 쌈장 1+1/2숟가락,1인분,초급,30분이내,마늘 대파 
삼겹살야끼소바,9536,볶음,삼겹살 100g| 스파게티면 500원동전만큼  간장 2T| 굴소스 1T| 다진마늘 1T| 대파 약간| 양파 1/3개,1인분,아무나,10분이내,마늘 대파 양파 
삼겹살양송이라면,1095,끓이기,진라면 1봉지| 삼겹살 100-150g| 양송이 큰거 3개| 프랑크 소시지 1개| 대파 파란부분 1/2대  청양 고추 1개| 고춧가루 1작은 술,1인분,아무나,10분이내,대파 고추 라면 
삼겹살오븐구이,20167,굽기,통삼겹살 500g| 양파 1개| 대파 1/2개| 마늘 5쪽| 허브솔트 or 소금 1.5스푼| 소주 or 화이트와인 1컵| 향신료(바질/로즈마리) 1.5스푼| 월계수잎 1~2장| 올리브유 1스푼| 치킨스톡물(물만넣어도되요) 1컵,1인분,중급,2시간이내,마늘 대파 양파 
